Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.108,1.591,1.326,1.447,0.184,43,0,0.033,0.024,1.591,1.326,1.447,0.033,0.000,1.00,0.00,0.00,0.00,0.00,0.077,0.000,0.000,0.00,0.000,0.061,0.432,1.109E-04,,,
0.108,1.591,1.326,1.447,0.193,25,0,-0.021,,1.591,1.326,1.447,-0.021,0.000,1.00,0.00,0.00,0.00,0.00,0.068,0.000,0.000,0.00,0.000,0.052,0.432,1.438E-04,,,
0.126,2.087,1.739,1.897,0.211,43,0,0.060,0.045,2.087,1.739,1.897,0.060,0.000,1.00,0.00,0.00,0.00,0.00,0.050,0.000,0.000,0.00,0.000,0.034,0.432,5.938E-04,,,
0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.050,0.000,0.000,0.00,0.000,0.034,0.432,6.250E-04,,,
0.138,2.165,1.804,1.968,0.236,43,0,0.085,0.063,2.165,1.804,1.968,0.085,0.000,1.00,0.00,0.00,0.00,0.00,0.025,0.000,0.000,0.00,0.000,0.009,0.432,2.063E-03,,,
0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.025,0.000,0.000,0.00,0.000,0.009,0.432,2.078E-03,,,
0.108,1.591,1.326,1.447,0.184,43,0,0.033,0.024,1.591,1.326,1.447,0.033,0.000,1.00,0.00,0.00,0.00,0.00,0.152,0.000,0.000,0.00,0.000,0.083,0.432,3.125E-07,,,
0.108,1.591,1.326,1.447,0.193,25,0,-0.021,,1.591,1.326,1.447,-0.021,0.000,1.00,0.00,0.00,0.00,0.00,0.143,0.000,0.000,0.00,0.000,0.074,0.432,6.250E-07,,,
0.126,2.087,1.739,1.897,0.211,43,0,0.060,0.045,2.087,1.739,1.897,0.060,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,0.432,2.813E-05,,,
0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,0.432,1.094E-05,,,
0.138,2.165,1.804,1.968,0.236,43,0,0.085,0.063,2.165,1.804,1.968,0.085,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,0.432,1.875E-04,,,
0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,0.432,9.688E-05,,,
0.108,1.591,1.326,1.447,0.184,43,0,0.033,0.024,1.591,1.326,1.447,0.033,0.000,1.00,0.00,0.00,0.00,0.00,0.077,0.000,0.000,0.00,0.000,0.136,0.432,7.813E-07,,,
0.108,1.591,1.326,1.447,0.193,25,0,-0.021,,1.591,1.326,1.447,-0.021,0.000,1.00,0.00,0.00,0.00,0.00,0.068,0.000,0.000,0.00,0.000,0.127,0.432,2.813E-06,,,
0.126,2.087,1.739,1.897,0.211,43,0,0.060,0.045,2.087,1.739,1.897,0.060,0.000,1.00,0.00,0.00,0.00,0.00,0.050,0.000,0.000,0.00,0.000,0.109,0.432,6.094E-05,,,
0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.050,0.000,0.000,0.00,0.000,0.109,0.432,5.156E-05,,,
0.138,2.165,1.804,1.968,0.236,43,0,0.085,0.063,2.165,1.804,1.968,0.085,0.000,1.00,0.00,0.00,0.00,0.00,0.025,0.000,0.000,0.00,0.000,0.084,0.432,4.063E-04,,,
0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.025,0.000,0.000,0.00,0.000,0.084,0.432,2.813E-04,,,
0.108,1.591,1.326,1.447,0.193,25,0,-0.021,,1.591,1.326,1.447,-0.021,0.000,1.00,0.00,0.00,0.00,0.00,0.143,0.000,0.000,0.00,0.000,0.074,0.432,2.031E-06,,,
0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,0.432,1.094E-05,,,
0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,0.432,1.313E-04,,,
0.126,2.087,1.739,1.897,0.211,43,0,0.060,0.045,2.087,1.739,1.897,0.060,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,1.376,1.250E-06,,,
0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,1.376,7.813E-07,,,
0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,1.376,2.031E-05,,,
0.081,1.959,1.632,1.780,0.800,66,0,0.326,0.081,1.959,1.632,1.780,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.000,0.000,0.00,0.000,0.215,0.077,0.000E+00,,,
