Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.108,1.591,1.326,1.447,0.184,43.0,0.0,0.033,0.024,1.591,1.326,1.447,0.033,0.0,1.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.061,0.432,0.0001109
0.126,2.087,1.739,1.897,0.211,43.0,0.0,0.06,0.045,2.087,1.739,1.897,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.034,0.432,0.0005938
0.138,2.165,1.804,1.968,0.236,43.0,0.0,0.085,0.063,2.165,1.804,1.968,0.085,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.009,0.432,0.002063
0.138,2.165,1.804,1.968,0.236,25.0,0.0,0.023,0.042,2.165,1.804,1.968,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.009,0.432,0.002078
0.108,1.591,1.326,1.447,0.184,43.0,0.0,0.033,0.024,1.591,1.326,1.447,0.033,0.0,1.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.083,0.432,3.125e-07
0.126,2.087,1.739,1.897,0.211,43.0,0.0,0.06,0.045,2.087,1.739,1.897,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.056,0.432,2.813e-05
0.138,2.165,1.804,1.968,0.236,43.0,0.0,0.085,0.063,2.165,1.804,1.968,0.085,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.031,0.432,0.0001875
0.138,2.165,1.804,1.968,0.236,25.0,0.0,0.023,0.042,2.165,1.804,1.968,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.031,0.432,9.688e-05
0.108,1.591,1.326,1.447,0.184,43.0,0.0,0.033,0.024,1.591,1.326,1.447,0.033,0.0,1.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.136,0.432,7.813e-07
0.126,2.087,1.739,1.897,0.211,43.0,0.0,0.06,0.045,2.087,1.739,1.897,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.109,0.432,6.094e-05
0.138,2.165,1.804,1.968,0.236,43.0,0.0,0.085,0.063,2.165,1.804,1.968,0.085,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.084,0.432,0.0004063
0.138,2.165,1.804,1.968,0.236,25.0,0.0,0.023,0.042,2.165,1.804,1.968,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.084,0.432,0.0002813
0.138,2.165,1.804,1.968,0.236,25.0,0.0,0.023,0.042,2.165,1.804,1.968,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.031,0.432,0.0001313
0.126,2.087,1.739,1.897,0.211,43.0,0.0,0.06,0.045,2.087,1.739,1.897,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.056,1.376,1.25e-06
0.138,2.165,1.804,1.968,0.236,25.0,0.0,0.023,0.042,2.165,1.804,1.968,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.031,1.376,2.031e-05
0.081,1.959,1.632,1.78,0.8,66.0,0.0,0.326,0.081,1.959,1.632,1.78,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.0,0.0,0.0,0.0,0.215,0.077,0.0
0.152,1.666,1.388,1.514,0.8,66.0,0.0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.0,0.0,0.0,0.0,0.215,0.077,0.0002035
0.187,2.105,1.754,1.914,0.8,66.0,0.0,0.326,0.187,2.105,1.754,1.914,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.0,0.0,0.0,0.0,0.215,0.077,0.0007178
0.078,1.959,1.632,1.78,0.8,66.0,0.0,0.326,0.078,1.959,1.632,1.78,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.305,0.0,0.0,0.0,0.0,0.225,0.277,0.0
0.152,1.666,1.388,1.514,0.8,66.0,0.0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.305,0.0,0.0,0.0,0.0,0.225,0.277,1.835e-05
0.187,2.123,1.769,1.93,0.8,66.0,0.0,0.326,0.187,2.123,1.769,1.93,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.305,0.0,0.0,0.0,0.0,0.225,0.277,8.15e-05
0.152,1.666,1.388,1.514,0.8,66.0,0.0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.335,0.0,0.0,0.0,0.0,0.225,0.277,8.096e-06
0.187,2.123,1.769,1.93,0.8,66.0,0.0,0.326,0.187,2.123,1.769,1.93,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.335,0.0,0.0,0.0,0.0,0.225,0.277,3.94e-05
0.152,1.666,1.388,1.514,0.8,66.0,0.0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.305,0.0,0.0,0.0,0.0,0.225,0.323,8.096e-06
0.187,2.123,1.769,1.93,0.8,66.0,0.0,0.326,0.187,2.123,1.769,1.93,0.218,0.185,0.55,1.5,1.5,1.5,1.5,0.305,0.0,0.0,0.0,0.0,0.225,0.323,3.508e-05
0.101,1.404,1.17,1.277,0.368,1000.0,0.0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.5,1.5,1.5,1.5,0.192,0.0,0.0,0.0,0.0,0.214,0.094,1.673e-07
