Rc,Ac,Hm0.deep,Hm0.toe,Tp.deep,Tm.deep,Tm.1.0.deep,q
0.024,0.077,1.447,1.326,1.591,0.108,0.061,0.0001109
0.045,0.05,1.897,1.739,2.087,0.126,0.034,0.0005938
0.063,0.025,1.968,1.804,2.165,0.138,0.009,0.002063
0.042,0.025,1.968,1.804,2.165,0.138,0.009,0.002078
0.024,0.152,1.447,1.326,1.591,0.108,0.083,3.125E-07
0.045,0.125,1.897,1.739,2.087,0.126,0.056,2.813E-05
0.063,0.1,1.968,1.804,2.165,0.138,0.031,0.0001875
0.042,0.1,1.968,1.804,2.165,0.138,0.031,9.688E-05
0.024,0.077,1.447,1.326,1.591,0.108,0.136,7.813E-07
0.045,0.05,1.897,1.739,2.087,0.126,0.109,6.094E-05
0.063,0.025,1.968,1.804,2.165,0.138,0.084,0.0004063
0.042,0.025,1.968,1.804,2.165,0.138,0.084,0.0002813
0.042,0.1,1.968,1.804,2.165,0.138,0.031,0.0001313
0.045,0.125,1.897,1.739,2.087,0.126,0.056,1.25E-06
0.042,0.1,1.968,1.804,2.165,0.138,0.031,2.031E-05
0.081,0.274,1.78,1.632,1.959,0.081,0.215,0.0
0.152,0.274,1.514,1.388,1.666,0.152,0.215,0.0002035
0.187,0.274,1.914,1.754,2.105,0.187,0.215,0.0007178
0.078,0.305,1.78,1.632,1.959,0.078,0.225,0.0
0.152,0.305,1.514,1.388,1.666,0.152,0.225,1.835E-05
0.187,0.305,1.93,1.769,2.123,0.187,0.225,8.15E-05
0.152,0.335,1.514,1.388,1.666,0.152,0.225,8.096E-06
0.187,0.335,1.93,1.769,2.123,0.187,0.225,3.94E-05
0.152,0.305,1.514,1.388,1.666,0.152,0.225,8.096E-06
0.187,0.305,1.93,1.769,2.123,0.187,0.225,3.508E-05
0.097,0.192,1.277,1.17,1.404,0.101,0.214,1.673E-07
0.107,0.192,1.335,1.224,1.468,0.116,0.214,3.346E-07
0.126,0.159,1.393,1.277,1.532,0.142,0.181,1.506E-05
0.132,0.151,1.432,1.312,1.575,0.16,0.173,4.852E-05
0.126,0.159,1.393,1.277,1.532,0.142,0.181,2.788E-07
